person_age,person_income,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
29,134693,8.0,PERSONAL,A,11214,6.97,0.0833,N,8,0
54,41801,4.0,HOMEIMPROVEMENT,B,4872,9.51,0.1166,N,34,0
60,89708,5.0,VENTURE,A,17907,6.18,0.1996,N,43,0
72,29196,6.0,HOMEIMPROVEMENT,E,17446,17.84,0.5975,N,45,1
24,61766,5.0,DEBTCONSOLIDATION,B,7340,11.36,0.1188,Y,4,1
61,13521,3.0,EDUCATION,B,24381,11.03,1.8032,N,41,0
22,26453,2.0,DEBTCONSOLIDATION,A,20582,6.06,0.7781,N,5,0
37,63365,7.0,PERSONAL,C,8013,14.04,0.1265,Y,15,1
28,23817,7.0,EDUCATION,A,9641,7.4,0.4048,Y,8,1
27,61995,4.0,MEDICAL,C,7800,12.0,0.1258,N,6,0
27,80704,9.0,DEBTCONSOLIDATION,A,14588,5.77,0.1808,N,9,0
20,37207,3.0,DEBTCONSOLIDATION,E,1994,18.84,0.0536,N,1,0
64,28769,8.0,MEDICAL,C,19344,13.46,0.6724,N,41,0
21,37767,7.0,MEDICAL,E,3658,19.33,0.0969,N,1,1
40,28819,8.0,MEDICAL,A,6332,7.79,0.2197,Y,17,1
57,46366,8.0,DEBTCONSOLIDATION,B,43364,8.64,0.9353,N,36,0
74,51852,8.0,HOMEIMPROVEMENT,C,7969,11.92,0.1537,N,45,0
66,41427,5.0,EDUCATION,C,12913,13.43,0.3117,N,45,0
25,123117,4.0,PERSONAL,D,13599,16.64,0.1105,N,3,0
74,33002,4.0,PERSONAL,A,13062,5.73,0.3958,N,45,0
55,105375,5.0,DEBTCONSOLIDATION,C,7545,14.16,0.0716,N,37,0
28,27648,2.0,HOMEIMPROVEMENT,C,13908,13.62,0.503,N,6,1
43,51022,3.0,PERSONAL,E,9695,18.1,0.19,N,22,0
70,93967,5.0,VENTURE,D,3007,16.63,0.032,N,45,0
40,91331,6.0,EDUCATION,B,4512,9.19,0.0494,N,21,0
28,38904,5.0,MEDICAL,A,9074,5.58,0.2332,N,11,0
67,66522,8.0,MEDICAL,C,14657,14.31,0.2203,N,45,0
72,61799,6.0,VENTURE,B,14814,8.72,0.2397,N,45,0
73,36425,4.0,EDUCATION,D,11572,15.34,0.3177,N,45,1
72,68787,13.0,DEBTCONSOLIDATION,A,10172,6.19,0.1479,Y,45,1
67,136539,3.0,DEBTCONSOLIDATION,C,9266,13.39,0.0679,N,45,0
43,63540,4.0,PERSONAL,F,12754,24.69,0.2007,N,23,0
28,66936,2.0,VENTURE,A,5138,6.4,0.0768,Y,10,0
53,70946,1.0,MEDICAL,A,10404,7.42,0.1466,Y,31,0
30,21948,2.0,MEDICAL,A,18879,6.34,0.8602,N,10,0
44,63140,7.0,PERSONAL,A,10870,7.95,0.1722,Y,26,0
55,28023,10.0,MEDICAL,A,5048,7.93,0.1801,N,34,0
71,35438,4.0,HOMEIMPROVEMENT,C,4993,13.54,0.1409,N,45,0
34,160985,5.0,PERSONAL,B,24715,9.45,0.1535,N,16,0
32,42646,5.0,MEDICAL,A,9100,5.56,0.2134,N,11,0
59,32627,2.0,VENTURE,B,3640,9.66,0.1116,Y,42,1
18,92403,6.0,PERSONAL,B,4927,10.09,0.0533,N,1,0
50,29108,8.0,DEBTCONSOLIDATION,C,3079,12.54,0.1058,N,28,0
60,38327,5.0,VENTURE,A,3150,5.98,0.0822,N,38,0
49,97438,4.0,VENTURE,A,12180,5.93,0.125,N,30,0
39,50187,5.0,MEDICAL,A,6587,7.35,0.1312,N,17,0
65,20767,3.0,PERSONAL,A,4194,7.93,0.202,Y,44,1
39,66117,6.0,DEBTCONSOLIDATION,D,23546,16.03,0.3561,N,17,0
58,39416,8.0,PERSONAL,A,8089,7.51,0.2052,N,39,0
44,114338,5.0,HOMEIMPROVEMENT,B,10075,9.13,0.0881,N,24,0
19,35122,7.0,PERSONAL,B,16604,8.82,0.4728,Y,1,1
48,87393,4.0,VENTURE,D,3457,15.4,0.0396,N,26,0
20,130174,6.0,MEDICAL,D,4013,14.98,0.0308,Y,3,1
71,30698,6.0,MEDICAL,C,10046,11.81,0.3273,N,45,0
52,44078,3.0,DEBTCONSOLIDATION,C,959,13.22,0.0218,N,29,0
39,60702,6.0,DEBTCONSOLIDATION,C,41055,12.06,0.6763,Y,21,1
45,30590,6.0,PERSONAL,E,12909,19.68,0.422,N,24,1
53,56877,6.0,DEBTCONSOLIDATION,A,9104,7.16,0.1601,N,36,0
32,43316,2.0,PERSONAL,B,13774,8.5,0.318,Y,15,1
34,42839,4.0,VENTURE,C,15630,14.23,0.3649,N,15,0
41,50358,5.0,HOMEIMPROVEMENT,C,12447,11.8,0.2472,N,24,0
32,50980,6.0,EDUCATION,F,17537,21.19,0.344,N,15,0
61,53644,10.0,VENTURE,C,22351,14.17,0.4167,Y,43,1
23,35264,2.0,VENTURE,C,33410,12.16,0.9474,N,5,0
65,36121,4.0,MEDICAL,A,5499,6.8,0.1522,N,45,0
37,45925,9.0,HOMEIMPROVEMENT,E,4122,19.49,0.0898,N,20,0
49,47828,7.0,VENTURE,B,4116,8.76,0.0861,N,29,0
26,38508,2.0,HOMEIMPROVEMENT,C,11429,11.98,0.2968,N,6,0
39,58581,3.0,PERSONAL,B,2733,9.62,0.0467,N,18,0
61,18067,5.0,PERSONAL,C,3699,12.88,0.2047,N,40,0
33,32801,4.0,MEDICAL,B,14287,10.39,0.4356,N,12,0
25,42025,6.0,HOMEIMPROVEMENT,B,7026,10.86,0.1672,N,7,0
47,30611,1.0,HOMEIMPROVEMENT,B,8921,10.05,0.2914,N,25,0
27,120097,7.0,MEDICAL,D,30230,15.0,0.2517,Y,9,0
35,49531,1.0,HOMEIMPROVEMENT,C,20008,13.47,0.4039,N,16,1
43,54026,5.0,DEBTCONSOLIDATION,B,11650,10.08,0.2156,Y,25,1
50,37579,2.0,MEDICAL,B,4719,10.11,0.1256,Y,27,1
54,48597,1.0,PERSONAL,B,8590,10.78,0.1768,N,33,0
56,25124,5.0,VENTURE,D,5320,17.2,0.2117,N,35,0
66,44649,4.0,EDUCATION,B,8111,9.56,0.1817,N,45,0
21,29279,6.0,EDUCATION,B,5105,10.5,0.1744,N,3,0
38,42084,4.0,DEBTCONSOLIDATION,A,10304,7.73,0.2448,N,20,0
18,12000,3.0,DEBTCONSOLIDATION,A,7794,5.86,0.6495,N,1,0
18,26359,5.0,VENTURE,D,5064,16.23,0.1921,Y,1,1
30,109662,7.0,EDUCATION,D,4012,17.32,0.0366,N,8,0
52,77398,7.0,EDUCATION,B,30049,10.76,0.3882,Y,30,1
68,101262,3.0,PERSONAL,A,5847,5.11,0.0577,Y,45,0
62,105160,7.0,PERSONAL,D,20141,15.76,0.1915,Y,41,1
54,70979,3.0,PERSONAL,E,8825,18.69,0.1243,N,33,1
62,38212,5.0,VENTURE,C,10269,14.15,0.2687,N,44,0
27,27708,9.0,PERSONAL,B,10375,9.81,0.3744,Y,7,0
65,92107,2.0,PERSONAL,B,7802,8.82,0.0847,N,45,0
68,50792,5.0,DEBTCONSOLIDATION,D,9530,16.49,0.1876,N,45,0
23,193244,3.0,VENTURE,A,14092,8.36,0.0729,N,1,0
44,40102,8.0,VENTURE,A,3919,7.03,0.0977,Y,25,1
65,145087,7.0,MEDICAL,E,8396,17.97,0.0579,N,45,0
45,44970,1.0,DEBTCONSOLIDATION,C,9772,14.09,0.2173,Y,26,1
65,102214,4.0,VENTURE,C,15168,12.3,0.1484,N,43,0
71,124639,1.0,PERSONAL,A,7159,5.72,0.0574,N,45,0
45,27927,3.0,MEDICAL,C,8292,14.04,0.2969,N,27,0
21,37543,4.0,MEDICAL,C,16531,13.73,0.4403,N,3,0
37,27774,4.0,DEBTCONSOLIDATION,B,3080,11.1,0.1109,N,16,0
30,24922,5.0,MEDICAL,C,20995,13.51,0.8424,N,9,1
45,70748,5.0,HOMEIMPROVEMENT,E,5273,19.99,0.0745,N,27,0
51,43996,9.0,HOMEIMPROVEMENT,E,20040,18.78,0.4555,Y,32,1
44,50453,6.0,PERSONAL,A,23057,5.55,0.457,N,23,1
29,66564,2.0,DEBTCONSOLIDATION,A,7488,5.34,0.1125,N,6,0
35,17649,11.0,MEDICAL,B,19294,9.18,1.0932,N,14,0
56,99480,6.0,HOMEIMPROVEMENT,C,7430,11.82,0.0747,N,33,0
19,40457,11.0,VENTURE,E,5781,20.37,0.1429,N,1,0
30,65697,2.0,MEDICAL,C,12589,13.12,0.1916,N,8,0
68,68967,4.0,EDUCATION,D,17736,15.91,0.2572,N,45,0
23,104186,4.0,PERSONAL,C,4894,12.64,0.047,Y,3,0
41,46273,3.0,VENTURE,B,2844,10.73,0.0615,N,18,0
29,15244,3.0,PERSONAL,B,11099,8.67,0.7281,Y,9,1
23,50585,7.0,EDUCATION,C,30453,11.83,0.602,N,2,0
42,54742,5.0,MEDICAL,C,9493,14.33,0.1734,N,22,0
47,27754,2.0,PERSONAL,B,23877,8.88,0.8603,N,30,0
28,53163,8.0,MEDICAL,B,20870,9.12,0.3926,N,6,0
22,40192,6.0,EDUCATION,A,18074,5.47,0.4497,N,1,0
25,23423,7.0,EDUCATION,A,8652,5.45,0.3694,Y,6,1
55,70920,5.0,VENTURE,A,6140,7.51,0.0866,N,32,0
67,35952,8.0,EDUCATION,C,10708,13.9,0.2978,N,44,0
28,39202,5.0,PERSONAL,B,4326,10.32,0.1104,N,9,0
36,38009,7.0,PERSONAL,D,17479,15.72,0.4599,N,15,1
37,96713,1.0,PERSONAL,A,7368,5.83,0.0762,Y,14,0
38,47929,6.0,PERSONAL,F,8736,21.48,0.1823,N,17,0
31,51200,4.0,VENTURE,B,8520,10.39,0.1664,N,12,0
21,38470,8.0,MEDICAL,D,5649,16.62,0.1468,N,1,0
47,63232,6.0,PERSONAL,A,6661,8.15,0.1053,N,28,0
38,102962,6.0,MEDICAL,B,12697,10.12,0.1233,N,15,0
37,70005,5.0,HOMEIMPROVEMENT,A,4388,6.05,0.0627,N,16,0
33,71523,1.0,MEDICAL,B,4513,9.21,0.0631,N,12,0
70,68420,3.0,DEBTCONSOLIDATION,B,5314,10.46,0.0777,N,45,0
52,22945,6.0,PERSONAL,B,10184,8.55,0.4438,N,33,0
41,30276,7.0,VENTURE,E,3147,19.76,0.1039,N,19,0
29,43794,3.0,MEDICAL,D,5885,17.34,0.1344,Y,7,1
63,32885,5.0,MEDICAL,A,1914,8.31,0.0582,N,45,0
68,27296,7.0,MEDICAL,B,3154,10.19,0.1155,N,45,0
19,17506,2.0,MEDICAL,B,7257,9.9,0.4145,Y,1,1
70,23374,5.0,DEBTCONSOLIDATION,E,12110,18.44,0.5181,Y,45,1
57,42570,11.0,EDUCATION,C,10399,12.42,0.2443,N,37,0
23,47184,6.0,VENTURE,E,9620,18.63,0.2039,N,3,1
60,31692,6.0,EDUCATION,B,6551,10.41,0.2067,N,39,0
24,51195,3.0,EDUCATION,C,22378,11.97,0.4371,N,5,1
20,38614,9.0,MEDICAL,A,7009,5.38,0.1815,N,3,0
24,89305,6.0,VENTURE,A,3511,8.21,0.0393,N,7,0
44,44851,10.0,DEBTCONSOLIDATION,C,25734,12.25,0.5738,N,23,0
53,71896,4.0,VENTURE,C,5248,13.16,0.073,N,31,0
41,54817,2.0,VENTURE,E,8001,17.85,0.146,N,20,0
24,22671,5.0,MEDICAL,C,19377,12.27,0.8547,N,7,0
29,46636,2.0,EDUCATION,A,6183,6.69,0.1326,N,10,0
66,24844,5.0,VENTURE,B,21352,9.56,0.8594,Y,45,1
72,46190,4.0,EDUCATION,A,10666,5.68,0.2309,N,45,0
60,32538,5.0,DEBTCONSOLIDATION,C,14015,12.92,0.4307,N,43,1
23,60480,4.0,HOMEIMPROVEMENT,A,11571,5.59,0.1913,N,1,0
64,23428,6.0,PERSONAL,B,8215,9.03,0.3506,N,45,0
57,49418,6.0,PERSONAL,A,29282,6.76,0.5925,N,39,1
47,67159,7.0,MEDICAL,C,16713,12.5,0.2489,N,30,0
26,80755,7.0,EDUCATION,C,2892,13.34,0.0358,N,4,0
74,32199,3.0,EDUCATION,A,7137,6.12,0.2217,N,45,0
43,49501,6.0,EDUCATION,A,16998,6.27,0.3434,N,22,0
20,54245,6.0,HOMEIMPROVEMENT,B,1868,9.44,0.0344,N,1,0
29,114796,3.0,PERSONAL,F,5507,23.5,0.048,N,11,0
40,21704,4.0,DEBTCONSOLIDATION,D,20779,15.44,0.9574,N,22,1
21,29699,9.0,VENTURE,B,12282,10.93,0.4135,N,1,0
36,229223,5.0,HOMEIMPROVEMENT,D,6802,16.01,0.0297,N,16,0
44,42184,3.0,PERSONAL,A,16226,6.43,0.3846,N,23,0
72,17325,5.0,PERSONAL,A,45167,5.22,2.607,N,45,0
22,35582,8.0,EDUCATION,C,5119,13.52,0.1439,N,4,0
50,12000,8.0,DEBTCONSOLIDATION,E,4178,20.29,0.3482,N,29,0
70,55966,7.0,HOMEIMPROVEMENT,A,32976,8.16,0.5892,N,45,0
63,76525,9.0,EDUCATION,D,20044,15.42,0.2619,N,42,0
70,29690,8.0,EDUCATION,A,8082,6.69,0.2722,N,45,0
27,37839,3.0,MEDICAL,B,10297,10.05,0.2721,N,7,0
63,81471,10.0,EDUCATION,D,17887,15.79,0.2196,N,45,0
73,18720,4.0,DEBTCONSOLIDATION,B,17907,8.99,0.9566,N,45,0
36,23697,5.0,VENTURE,C,18770,13.91,0.7921,N,16,1
46,43240,5.0,MEDICAL,B,5579,9.79,0.129,N,28,0
48,32409,5.0,PERSONAL,C,8218,14.36,0.2536,N,25,0
46,41704,2.0,PERSONAL,D,38660,16.89,0.927,Y,27,1
34,24463,5.0,MEDICAL,A,15629,5.35,0.6389,N,15,0
73,55153,5.0,HOMEIMPROVEMENT,A,31868,7.66,0.5778,N,45,0
72,45157,5.0,VENTURE,A,11360,5.3,0.2516,Y,45,1
39,66307,4.0,HOMEIMPROVEMENT,B,6932,9.47,0.1045,Y,20,1
63,54732,5.0,HOMEIMPROVEMENT,A,5094,6.75,0.0931,N,45,0
40,54922,8.0,HOMEIMPROVEMENT,B,7406,8.92,0.1348,N,19,0
63,22126,2.0,VENTURE,A,23304,8.33,1.0532,N,44,1
51,64274,5.0,HOMEIMPROVEMENT,F,10668,21.14,0.166,N,28,0
44,40864,9.0,EDUCATION,D,3579,17.34,0.0876,N,24,0
25,44728,4.0,PERSONAL,B,4984,8.73,0.1114,N,2,0
55,87251,6.0,HOMEIMPROVEMENT,E,50000,18.92,0.5731,N,37,1
36,33001,2.0,EDUCATION,E,5492,18.37,0.1664,Y,17,1
30,103068,3.0,EDUCATION,C,11913,13.87,0.1156,N,10,0
29,108495,6.0,MEDICAL,B,18495,11.36,0.1705,N,10,0
73,74163,5.0,MEDICAL,D,7966,15.88,0.1074,N,45,0
23,28585,6.0,PERSONAL,A,1876,6.96,0.0656,N,1,0
63,14728,6.0,VENTURE,B,4185,11.2,0.2842,N,42,0
67,88730,3.0,EDUCATION,C,5089,12.39,0.0574,N,45,0
19,52117,6.0,PERSONAL,A,3644,7.69,0.0699,N,1,0
51,32537,3.0,DEBTCONSOLIDATION,A,26865,5.05,0.8257,N,30,0
50,93475,5.0,EDUCATION,C,17322,11.9,0.1853,N,29,0
38,30520,6.0,EDUCATION,A,23582,7.2,0.7727,N,18,0
56,38820,4.0,PERSONAL,D,5282,15.82,0.1361,N,39,0
41,65426,4.0,DEBTCONSOLIDATION,D,8382,15.11,0.1281,N,24,0
43,26569,2.0,PERSONAL,B,20266,9.17,0.7628,N,26,1
42,46156,3.0,PERSONAL,A,2871,5.23,0.0622,N,25,0
63,89234,6.0,EDUCATION,B,35934,8.92,0.4027,Y,40,1
54,55056,2.0,PERSONAL,C,22190,13.87,0.403,N,34,1
39,97351,4.0,PERSONAL,A,13255,8.4,0.1362,Y,17,0
70,91443,2.0,EDUCATION,B,6401,8.91,0.07,N,45,0
63,49229,5.0,MEDICAL,A,3911,6.24,0.0794,N,42,0
71,13558,4.0,DEBTCONSOLIDATION,C,15837,12.36,1.1681,N,45,0
59,26684,4.0,MEDICAL,D,28726,16.87,1.0765,N,41,1
40,74595,6.0,HOMEIMPROVEMENT,E,12827,20.59,0.172,N,17,0
62,20897,6.0,DEBTCONSOLIDATION,A,15519,5.53,0.7426,N,42,1
36,40958,8.0,HOMEIMPROVEMENT,A,15815,6.04,0.3861,N,13,0
33,59051,10.0,HOMEIMPROVEMENT,C,11211,13.89,0.1899,N,14,0
43,110003,10.0,HOMEIMPROVEMENT,A,14074,7.9,0.1279,N,25,0
73,35729,3.0,PERSONAL,B,28948,10.58,0.8102,N,45,0
50,34409,8.0,PERSONAL,C,14786,13.01,0.4297,N,27,0
39,47626,5.0,EDUCATION,B,10913,8.75,0.2291,Y,16,1
44,59456,2.0,VENTURE,B,5663,10.98,0.0952,N,27,0
34,45033,7.0,EDUCATION,B,17690,9.43,0.3928,N,16,0
55,87299,5.0,MEDICAL,B,10520,10.74,0.1205,N,34,0
37,31586,5.0,HOMEIMPROVEMENT,B,10639,10.51,0.3368,N,17,0
49,52369,5.0,PERSONAL,D,14652,17.37,0.2798,N,31,1
39,62621,6.0,HOMEIMPROVEMENT,D,10091,15.25,0.1611,N,21,0
36,39335,4.0,MEDICAL,C,12976,12.67,0.3299,N,18,0
73,77795,6.0,MEDICAL,B,11351,10.17,0.1459,N,45,0
37,53206,1.0,EDUCATION,B,7749,9.27,0.1456,N,17,0
22,75649,5.0,PERSONAL,C,18428,14.5,0.2436,N,2,0
39,54543,5.0,MEDICAL,B,1617,9.49,0.0296,N,21,0
48,60296,3.0,HOMEIMPROVEMENT,A,14947,7.42,0.2479,N,25,0
23,34619,6.0,HOMEIMPROVEMENT,C,4848,11.51,0.14,N,1,0
35,34650,6.0,HOMEIMPROVEMENT,A,22144,6.78,0.6391,N,18,0
27,96126,7.0,EDUCATION,F,2744,21.05,0.0285,N,9,0
46,69531,7.0,VENTURE,B,6823,10.94,0.0981,N,23,0
59,27927,5.0,MEDICAL,A,13109,6.48,0.4694,N,36,0
73,54147,9.0,PERSONAL,C,8985,13.1,0.1659,N,45,0
40,13285,5.0,MEDICAL,C,6013,13.11,0.4526,N,18,1
67,35750,5.0,PERSONAL,C,21341,11.9,0.597,N,45,1
30,83163,7.0,HOMEIMPROVEMENT,A,3936,5.31,0.0473,N,10,0
62,45760,2.0,DEBTCONSOLIDATION,B,10614,10.35,0.2319,N,40,0
50,52305,3.0,DEBTCONSOLIDATION,C,6376,12.65,0.1219,N,32,0
61,12000,2.0,EDUCATION,D,16922,15.45,1.4102,N,43,1
61,39508,6.0,VENTURE,B,6605,11.33,0.1672,N,39,0
48,59044,3.0,HOMEIMPROVEMENT,A,9937,5.37,0.1683,N,28,0
32,63317,14.0,VENTURE,B,8002,9.3,0.1264,N,11,0
47,83224,3.0,PERSONAL,C,9465,12.89,0.1137,N,25,0
65,43667,3.0,MEDICAL,A,10990,5.15,0.2517,N,45,0
73,44751,8.0,MEDICAL,E,10187,19.3,0.2276,N,45,0
70,23560,7.0,HOMEIMPROVEMENT,A,9493,7.67,0.4029,N,45,0
28,43805,2.0,HOMEIMPROVEMENT,A,6071,7.57,0.1386,N,5,0
52,24492,2.0,VENTURE,A,11659,6.88,0.476,N,29,0
23,17741,3.0,PERSONAL,A,4339,8.39,0.2446,N,2,0
56,26988,5.0,MEDICAL,D,12862,14.63,0.4766,N,35,0
74,112395,5.0,DEBTCONSOLIDATION,C,9790,14.17,0.0871,N,45,0
20,42242,4.0,PERSONAL,A,2064,6.28,0.0489,N,1,0
55,55322,7.0,HOMEIMPROVEMENT,E,11329,19.44,0.2048,N,37,0
71,36959,3.0,PERSONAL,C,32492,11.94,0.8791,Y,45,1
66,18309,7.0,DEBTCONSOLIDATION,B,9239,9.47,0.5046,N,45,0
40,82031,6.0,DEBTCONSOLIDATION,A,11225,6.74,0.1368,N,22,0
23,14843,10.0,DEBTCONSOLIDATION,D,6001,15.2,0.4043,N,4,1
70,36129,5.0,EDUCATION,C,50000,12.45,1.3839,N,45,0
70,47570,3.0,HOMEIMPROVEMENT,A,47616,5.56,1.001,N,45,0
51,55646,5.0,EDUCATION,B,33323,8.74,0.5988,N,33,0
73,32874,4.0,PERSONAL,A,43020,6.76,1.3086,N,45,0
18,17838,5.0,MEDICAL,A,5340,8.33,0.2994,Y,1,1
53,31552,2.0,HOMEIMPROVEMENT,A,4070,7.11,0.129,Y,31,0
20,32473,4.0,PERSONAL,B,50000,8.71,1.5397,N,1,1
71,32041,3.0,MEDICAL,D,8842,16.33,0.276,N,45,0
56,83577,2.0,VENTURE,C,5542,12.08,0.0663,N,36,0
70,25147,5.0,HOMEIMPROVEMENT,C,13691,13.33,0.5444,N,45,1
50,57845,2.0,EDUCATION,A,4525,5.47,0.0782,N,27,0
22,53480,2.0,PERSONAL,A,11909,6.29,0.2227,N,1,0
19,83137,5.0,PERSONAL,B,5551,10.23,0.0668,N,1,0
37,45559,2.0,VENTURE,E,18656,17.86,0.4095,N,19,1
60,75744,6.0,VENTURE,C,5371,13.57,0.0709,N,42,0
26,44590,7.0,EDUCATION,A,4317,6.03,0.0968,N,3,0
66,62250,7.0,MEDICAL,A,5126,6.23,0.0823,N,45,0
31,21447,9.0,EDUCATION,A,12523,7.52,0.5839,N,10,0
46,12000,6.0,PERSONAL,A,6423,6.1,0.5352,N,26,0
29,60333,1.0,PERSONAL,C,18316,11.55,0.3036,N,9,0
44,62140,2.0,MEDICAL,A,9677,5.29,0.1557,N,22,0
43,63673,12.0,DEBTCONSOLIDATION,A,15212,8.12,0.2389,N,20,0
18,36727,4.0,MEDICAL,C,5110,13.46,0.1391,N,1,0
50,111229,8.0,MEDICAL,A,8823,7.08,0.0793,N,31,0
62,38065,5.0,HOMEIMPROVEMENT,A,9697,7.92,0.2547,N,45,0
71,61789,6.0,MEDICAL,E,5616,20.93,0.0909,Y,45,1
36,67985,5.0,PERSONAL,D,6985,15.97,0.1027,N,16,0
68,126160,6.0,EDUCATION,D,13095,16.86,0.1038,N,45,0
68,41176,6.0,PERSONAL,A,3018,5.52,0.0733,Y,45,0
74,34226,9.0,DEBTCONSOLIDATION,F,7231,22.49,0.2113,N,45,0
39,21504,7.0,DEBTCONSOLIDATION,B,9067,9.8,0.4216,N,21,0
66,115128,7.0,EDUCATION,A,3993,6.24,0.0347,N,45,0
50,61807,3.0,MEDICAL,B,2327,9.62,0.0376,N,29,0
21,62892,2.0,PERSONAL,A,9359,6.39,0.1488,N,1,0
33,272171,5.0,EDUCATION,B,4913,10.42,0.0181,N,16,0
56,58616,8.0,PERSONAL,A,2978,5.01,0.0508,Y,34,0
27,23949,6.0,PERSONAL,A,5503,6.19,0.2298,N,6,0
42,44013,11.0,VENTURE,A,11777,7.38,0.2676,N,20,0
62,28677,5.0,MEDICAL,A,13020,7.07,0.454,N,40,1
26,39429,2.0,VENTURE,B,8345,9.83,0.2116,N,8,0
46,39284,6.0,DEBTCONSOLIDATION,E,21825,18.07,0.5556,N,29,1
30,35494,6.0,DEBTCONSOLIDATION,A,15803,6.52,0.4452,N,11,0
48,22781,2.0,PERSONAL,D,4212,16.58,0.1849,N,29,0
31,117697,6.0,EDUCATION,D,6500,16.21,0.0552,N,10,0
73,57778,5.0,DEBTCONSOLIDATION,C,2222,12.21,0.0385,N,45,0
22,43303,6.0,DEBTCONSOLIDATION,B,25431,9.85,0.5873,N,3,0
72,74362,8.0,HOMEIMPROVEMENT,B,7040,9.73,0.0947,N,45,0
63,63518,5.0,EDUCATION,E,45330,17.79,0.7137,N,43,1
66,57046,5.0,MEDICAL,E,7182,17.91,0.1259,N,45,0
66,71449,3.0,EDUCATION,C,8568,12.08,0.1199,N,45,0
28,52768,5.0,EDUCATION,D,14713,17.25,0.2788,N,7,0
71,70871,1.0,EDUCATION,D,34212,16.64,0.4827,Y,45,1
51,74177,8.0,VENTURE,C,38239,12.18,0.5155,Y,32,1
72,53610,8.0,VENTURE,A,9889,8.27,0.1845,N,45,0
68,43424,8.0,MEDICAL,B,9298,10.67,0.2141,Y,45,1
51,113745,3.0,DEBTCONSOLIDATION,A,6499,7.4,0.0571,N,30,0
39,37690,11.0,HOMEIMPROVEMENT,C,36372,14.43,0.965,N,20,1
24,60792,4.0,MEDICAL,B,15800,9.83,0.2599,N,5,0
23,61552,8.0,HOMEIMPROVEMENT,C,6392,13.07,0.1038,N,1,0
40,35057,2.0,EDUCATION,B,19088,10.54,0.5445,N,23,0
64,31435,10.0,EDUCATION,A,15770,8.26,0.5017,Y,42,1
46,40351,9.0,PERSONAL,E,6096,20.56,0.1511,N,29,0
45,37394,7.0,DEBTCONSOLIDATION,B,6840,10.53,0.1829,Y,27,1
31,21983,6.0,EDUCATION,A,4345,8.05,0.1977,N,10,0
50,34258,4.0,PERSONAL,B,22056,9.54,0.6438,Y,27,1
54,56750,8.0,HOMEIMPROVEMENT,A,6743,6.85,0.1188,N,33,0
73,98348,5.0,DEBTCONSOLIDATION,A,4215,7.67,0.0429,N,45,0
59,66497,3.0,HOMEIMPROVEMENT,A,27645,5.09,0.4157,N,41,0
52,12000,3.0,EDUCATION,F,12336,24.07,1.028,N,35,1
69,69753,5.0,DEBTCONSOLIDATION,D,2180,16.26,0.0313,N,45,0
42,36062,3.0,EDUCATION,D,16176,16.59,0.4486,N,21,1
71,62893,9.0,EDUCATION,B,2516,11.12,0.04,N,45,0
39,48641,6.0,PERSONAL,B,5544,9.85,0.114,N,20,0
25,44091,4.0,PERSONAL,A,13430,5.92,0.3046,N,2,0
41,46340,5.0,MEDICAL,B,13157,11.39,0.2839,N,23,0
25,48419,2.0,HOMEIMPROVEMENT,C,5733,14.27,0.1184,Y,4,0
24,102685,4.0,VENTURE,D,3865,15.61,0.0376,Y,4,1
68,48493,5.0,MEDICAL,D,34549,14.62,0.7125,N,45,0
63,89058,6.0,VENTURE,D,27912,15.62,0.3134,Y,41,1
30,82203,4.0,DEBTCONSOLIDATION,E,7995,17.89,0.0973,N,7,0
65,70747,3.0,EDUCATION,E,9420,17.54,0.1332,N,43,0
21,18349,6.0,MEDICAL,A,5852,6.66,0.3189,N,1,0
34,90594,3.0,DEBTCONSOLIDATION,A,7937,5.94,0.0876,N,12,0
58,38107,2.0,EDUCATION,B,9753,9.92,0.2559,N,41,0
35,72667,6.0,PERSONAL,A,16584,6.84,0.2282,N,14,0
59,28713,3.0,EDUCATION,D,2985,16.29,0.104,N,36,0
67,25545,7.0,VENTURE,B,12900,9.03,0.505,Y,45,1
21,145366,3.0,PERSONAL,A,28735,7.21,0.1977,N,1,0
19,28959,7.0,PERSONAL,B,7566,10.86,0.2613,N,1,0
71,92074,2.0,MEDICAL,C,4805,13.14,0.0522,N,45,0
47,52319,2.0,EDUCATION,B,20813,11.35,0.3978,N,26,0
46,38907,1.0,DEBTCONSOLIDATION,B,4459,10.01,0.1146,N,28,0
44,47826,3.0,MEDICAL,B,3826,11.48,0.08,N,22,0
42,23966,7.0,DEBTCONSOLIDATION,A,2654,6.88,0.1107,N,25,0
57,48651,3.0,EDUCATION,B,13656,10.93,0.2807,N,36,0
51,27024,5.0,MEDICAL,C,3954,14.28,0.1463,N,31,0
27,39438,7.0,MEDICAL,E,2927,18.09,0.0742,N,10,0
53,81545,5.0,PERSONAL,A,10585,7.72,0.1298,N,35,0
56,56376,4.0,PERSONAL,F,4503,24.29,0.0799,N,35,0
24,21694,2.0,EDUCATION,B,14608,9.06,0.6734,N,6,1
39,78301,3.0,PERSONAL,D,13725,15.87,0.1753,N,19,0
63,48829,4.0,HOMEIMPROVEMENT,C,10117,13.79,0.2072,N,44,0
53,36380,1.0,HOMEIMPROVEMENT,D,5538,14.82,0.1522,N,32,0
